Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
13:07:12,"0,000","0,00","28,703"
13:07:13,"0,180","0,00","28,578"
13:07:14,"0,183","0,00","28,157"
13:07:15,"0,185","0,00","28,578"
13:07:16,"0,187","0,00","28,547"
13:07:17,"0,189","0,00","28,707"
13:07:18,"0,191","0,00","28,582"
13:07:19,"0,193","0,00","28,551"
13:07:20,"0,196","2,00","28,582"
13:07:21,"0,198","0,00","28,582"
13:07:22,"0,200","0,00","28,551"
13:07:23,"0,202","0,00","28,551"
13:07:24,"0,204","3,00","28,582"
13:07:25,"0,206","0,00","28,551"
13:07:26,"0,209","0,00","28,551"
13:07:27,"0,211","0,00","28,488"
13:07:28,"0,214","2,60","28,488"
13:07:29,"0,216","0,00","28,488"
13:07:30,"0,218","0,00","28,613"
13:07:31,"0,220","0,00","28,613"
13:07:32,"0,222","3,70","28,613"
13:07:33,"0,225","3,80","28,613"
13:07:34,"0,227","2,40","28,613"
13:07:35,"0,229","0,00","28,613"
13:07:36,"0,231","0,00","28,613"
13:07:37,"0,233","0,00","28,613"
13:07:38,"0,236","0,00","28,613"
13:07:39,"0,238","0,00","28,613"
13:07:40,"0,240","0,00","28,613"
13:07:41,"0,242","0,00","28,613"
13:07:42,"0,244","0,00","28,613"
13:07:43,"0,246","0,00","28,613"
13:07:44,"0,248","0,00","28,613"
13:07:45,"0,250","3,60","28,613"
13:07:46,"0,253","7,10","28,613"
13:07:47,"0,255","4,10","28,613"
13:07:48,"0,257","0,00","28,613"
13:07:49,"0,259","6,20","28,613"
13:07:50,"0,261","5,20","28,613"
13:07:51,"0,263","5,40","28,613"
13:07:52,"0,266","12,00","28,613"
13:07:53,"0,268","2,50","28,613"
13:07:54,"0,270","11,10","28,613"
13:07:55,"0,272","5,90","28,613"
13:07:56,"0,274","7,50","28,613"
13:07:57,"0,277","5,20","28,613"
13:07:57,"0,279","4,30","28,613"
13:07:58,"0,281","4,50","28,613"
13:07:59,"0,283","0,00","28,457"
13:08:00,"0,286","6,60","28,617"
13:08:01,"0,288","0,00","28,071"
13:08:02,"0,290","8,60","28,617"
13:08:03,"0,292","3,40","28,617"
13:08:04,"0,294","3,40","28,617"
13:08:05,"0,297","4,10","28,461"
13:08:06,"0,299","4,50","28,617"
13:08:08,"0,302","6,40","28,617"
13:08:08,"0,304","14,20","28,617"
13:08:10,"0,306","21,10","28,617"
13:08:11,"0,308","11,10","28,617"
13:08:11,"0,310","3,80","28,617"
13:08:12,"0,313","5,70","28,617"
13:08:13,"0,315","0,00","28,492"
13:08:14,"0,317","0,00","28,461"
13:08:15,"0,319","0,00","28,461"
13:08:16,"0,321","0,00","28,461"
13:08:17,"0,323","0,00","28,492"
13:08:18,"0,326","0,00","28,492"
13:08:19,"0,327","21,00","28,617"
13:08:20,"0,330","0,00","28,492"
13:08:21,"0,333","0,00","28,492"
13:08:22,"0,335","0,00","28,617"
13:08:23,"0,337","0,00","28,617"
13:08:24,"0,339","0,00","28,492"
13:08:25,"0,342","0,00","28,492"
13:08:26,"0,344","0,00","28,492"
13:08:27,"0,346","0,00","28,492"
13:08:28,"0,348","0,00","28,492"
13:08:29,"0,351","0,00","28,492"
13:08:30,"0,353","0,00","28,492"
13:08:31,"0,355","1,90","28,492"
13:08:32,"0,357","0,00","28,492"
13:08:33,"0,360","0,00","28,492"
13:08:34,"0,362","0,00","28,492"
13:08:35,"0,364","0,00","28,492"
13:08:36,"0,367","0,00","28,461"
13:08:37,"0,369","2,80","28,071"
13:08:38,"0,371","2,20","28,461"
13:08:39,"0,373","0,00","28,492"
13:08:40,"0,376","0,00","28,492"
13:08:41,"0,378","0,00","28,617"
13:08:42,"0,380","0,00","28,617"
13:08:43,"0,382","0,00","28,617"
13:08:44,"0,385","0,00","28,617"
13:08:45,"0,387","0,00","28,621"
13:08:46,"0,389","0,00","28,621"
13:08:47,"0,392","0,00","28,621"
13:08:48,"0,394","0,00","28,621"
13:08:49,"0,396","0,00","28,621"
13:08:50,"0,399","3,10","28,621"
13:08:51,"0,401","0,00","28,621"
13:08:52,"0,403","0,00","28,621"
13:08:53,"0,406","0,00","28,621"
13:08:54,"0,408","3,80","28,621"
13:08:55,"0,410","0,00","28,621"
13:08:56,"0,412","0,00","28,621"
13:08:57,"0,415","0,00","28,621"
13:08:58,"0,417","0,00","28,621"
13:08:59,"0,419","0,00","28,621"
13:09:00,"0,422","0,00","28,496"
13:09:01,"0,424","0,00","28,496"
13:09:02,"0,426","0,00","28,496"
13:09:03,"0,428","0,00","28,465"
13:09:04,"0,431","0,00","28,465"
13:09:05,"0,433","0,00","28,465"
13:09:06,"0,435","0,00","28,465"
13:09:07,"0,437","1,40","28,496"
13:09:08,"0,440","0,00","28,496"
13:09:09,"0,442","0,00","28,496"
13:09:10,"0,444","0,00","28,496"
13:09:11,"0,446","0,00","28,496"
13:09:12,"0,449","0,00","28,621"
13:09:13,"0,451","0,00","28,496"
13:09:14,"0,453","2,10","28,621"
13:09:15,"0,456","0,00","28,621"
13:09:16,"0,458","0,00","28,621"
13:09:17,"0,460","0,00","28,621"
13:09:18,"0,462","3,20","28,621"
13:09:19,"0,464","0,00","28,621"
13:09:20,"0,466","0,00","28,621"
13:09:21,"0,469","2,50","28,621"
13:09:22,"0,471","0,00","28,621"
13:09:23,"0,473","3,70","28,621"
13:09:24,"0,476","0,00","28,621"
13:09:25,"0,478","0,00","28,621"
13:09:26,"0,480","3,40","28,621"
13:09:27,"0,482","3,30","28,621"
13:09:28,"0,485","7,10","28,621"
13:09:29,"0,487","5,90","28,621"
13:09:30,"0,489","2,80","28,621"
13:09:31,"0,491","3,80","28,621"
13:09:32,"0,493","6,60","28,621"
13:09:33,"0,496","3,80","28,621"
13:09:34,"0,498","6,90","28,075"
13:09:35,"0,500","15,10","28,621"
13:09:36,"0,503","7,40","28,621"
13:09:37,"0,505","5,30","28,621"
13:09:38,"0,508","0,00","28,621"
13:09:39,"0,510","4,00","28,621"
13:09:40,"0,512","8,00","28,621"
13:09:41,"0,514","8,00","28,621"
13:09:42,"0,517","9,00","28,621"
13:09:43,"0,519","7,40","28,621"
13:09:44,"0,521","6,30","28,621"
13:09:45,"0,523","7,40","28,621"
13:09:46,"0,525","8,30","28,621"
13:09:47,"0,528","8,70","28,621"
13:09:48,"0,530","9,00","28,621"
13:09:49,"0,532","5,50","28,621"
13:09:50,"0,534","2,10","28,621"
13:09:51,"0,537","0,00","28,621"
13:09:52,"0,539","2,30","28,621"
13:09:53,"0,541","5,30","28,621"
13:09:54,"0,544","3,10","28,621"
13:09:55,"0,546","8,70","28,621"
13:09:56,"0,548","4,00","28,621"
13:09:57,"0,550","3,20","28,621"
13:09:58,"0,553","5,50","28,621"
13:09:59,"0,555","3,70","28,621"
13:10:00,"0,557","5,00","28,621"
13:10:01,"0,560","4,00","28,621"
13:10:02,"0,562","0,00","28,621"
13:10:03,"0,564","2,80","28,621"
13:10:04,"0,566","4,70","28,621"
13:10:05,"0,569","6,40","28,465"
13:10:06,"0,571","5,10","28,465"
13:10:07,"0,573","5,10","28,465"
13:10:08,"0,575","11,10","28,621"
13:10:09,"0,578","23,30","28,621"
13:10:10,"0,580","3,90","28,621"
13:10:11,"0,582","3,00","28,621"
13:10:12,"0,584","7,10","28,621"
13:10:13,"0,587","0,00","28,621"
13:10:14,"0,589","0,00","28,621"
13:10:15,"0,592","2,30","28,465"
13:10:16,"0,595","5,00","28,465"
13:10:17,"0,597","8,50","28,496"
13:10:18,"0,599","6,00","28,496"
13:10:19,"0,601","6,40","28,496"
13:10:20,"0,604","0,00","28,496"
13:10:21,"0,607","0,00","28,496"
13:10:22,"0,609","0,00","28,496"
13:10:23,"0,611","2,00","28,496"
13:10:24,"0,614","0,00","28,621"
13:10:25,"0,616","6,10","28,621"
13:10:26,"0,618","0,00","28,621"
13:10:27,"0,620","0,00","28,496"
13:10:28,"0,623","0,00","28,496"
13:10:29,"0,625","6,10","28,496"
13:10:30,"0,627","3,50","28,496"
13:10:31,"0,630","3,80","28,496"
13:10:32,"0,632","3,50","28,496"
13:10:33,"0,634","3,40","28,496"
13:10:34,"0,636","6,40","28,496"
13:10:35,"0,639","4,10","28,496"
13:10:36,"0,641","0,00","28,496"
13:10:37,"0,643","0,00","28,496"
13:10:38,"0,646","0,00","28,496"
13:10:39,"0,648","4,00","28,496"
13:10:40,"0,650","0,00","28,621"
13:10:41,"0,653","0,00","28,621"
13:10:42,"0,655","6,90","28,496"
13:10:43,"0,657","0,00","28,621"
13:10:44,"0,659","0,00","28,621"
13:10:45,"0,662","0,00","28,621"
13:10:46,"0,664","9,00","28,496"
13:10:47,"0,666","9,20","28,496"
13:10:48,"0,669","4,30","28,496"
13:10:49,"0,671","4,70","28,496"
13:10:50,"0,673","2,50","28,621"
13:10:51,"0,675","0,00","28,621"
13:10:52,"0,678","0,00","28,621"
13:10:53,"0,680","4,70","28,496"
13:10:54,"0,682","0,00","28,621"
13:10:55,"0,684","0,00","28,621"
