Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
23:31:17,"0,000","2,50","27,379"
23:31:18,"0,179","6,10","27,379"
23:31:19,"0,181","7,60","27,379"
23:31:19,"0,182","4,70","27,379"
23:31:20,"0,183","3,70","27,379"
23:31:22,"0,185","8,00","27,379"
23:31:22,"0,186","8,30","27,379"
23:31:24,"0,188","2,50","27,379"
23:31:24,"0,189","0,00","27,379"
23:31:25,"0,190","2,00","27,379"
23:31:26,"0,192","0,00","27,379"
23:31:27,"0,193","0,00","27,379"
23:31:28,"0,194","1,30","27,379"
23:31:29,"0,196","3,40","27,379"
23:31:30,"0,197","2,30","27,379"
23:31:31,"0,198","5,80","27,379"
23:31:32,"0,200","2,20","27,379"
23:31:33,"0,202","4,20","27,379"
23:31:34,"0,203","3,10","27,379"
23:31:35,"0,204","4,00","27,379"
23:31:36,"0,206","2,40","27,379"
23:31:37,"0,207","5,20","27,379"
23:31:38,"0,208","9,80","27,379"
23:31:39,"0,210","5,10","27,379"
23:31:40,"0,211","4,40","27,379"
23:31:41,"0,212","6,00","27,379"
23:31:42,"0,214","0,00","27,379"
23:31:43,"0,215","2,00","26,833"
23:31:44,"0,217","0,00","27,379"
23:31:45,"0,218","0,00","26,833"
23:31:46,"0,219","0,00","27,379"
23:31:47,"0,221","5,00","27,379"
23:31:48,"0,222","7,60","27,379"
23:31:49,"0,223","5,70","27,379"
23:31:50,"0,225","11,90","27,379"
23:31:51,"0,226","4,60","27,379"
23:31:52,"0,227","9,20","27,379"
23:31:53,"0,229","10,00","27,379"
23:31:54,"0,230","2,30","27,379"
23:31:55,"0,232","7,10","27,379"
23:31:56,"0,233","0,00","27,379"
23:31:57,"0,234","0,00","27,379"
23:31:58,"0,236","0,00","27,379"
23:31:59,"0,237","3,30","27,379"
23:32:00,"0,238","3,40","27,379"
23:32:01,"0,240","1,90","27,379"
23:32:02,"0,241","2,80","27,379"
23:32:03,"0,242","0,00","27,379"
23:32:04,"0,243","0,00","27,379"
23:32:05,"0,245","0,00","27,379"
23:32:06,"0,246","5,10","27,379"
23:32:07,"0,247","2,70","27,379"
23:32:08,"0,249","8,80","27,379"
23:32:09,"0,250","0,00","27,379"
23:32:10,"0,252","23,00","27,379"
23:32:11,"0,253","4,50","27,379"
23:32:12,"0,254","5,20","27,379"
23:32:13,"0,255","6,80","27,379"
23:32:14,"0,257","1,70","27,379"
23:32:15,"0,258","0,00","27,379"
23:32:16,"0,259","1,50","27,379"
23:32:17,"0,260","0,00","27,379"
23:32:18,"0,261","0,00","27,379"
23:32:19,"0,263","0,00","26,833"
23:32:20,"0,264","0,00","27,379"
23:32:21,"0,265","10,90","27,379"
23:32:22,"0,266","7,10","27,379"
23:32:23,"0,267","3,80","27,379"
23:32:24,"0,268","0,00","27,379"
23:32:25,"0,270","0,00","27,379"
23:32:26,"0,271","5,80","27,379"
23:32:27,"0,272","0,00","26,833"
23:32:28,"0,273","0,00","27,379"
23:32:29,"0,275","0,00","27,379"
23:32:30,"0,276","0,00","27,379"
23:32:31,"0,277","0,00","27,379"
23:32:32,"0,278","0,00","27,379"
23:32:33,"0,279","3,30","27,379"
23:32:34,"0,280","3,70","27,379"
23:32:35,"0,281","2,40","27,379"
23:32:36,"0,282","6,70","27,379"
23:32:37,"0,284","6,50","27,379"
23:32:38,"0,285","2,50","27,379"
23:32:39,"0,286","8,50","27,379"
23:32:40,"0,287","3,90","27,379"
23:32:41,"0,288","11,70","27,379"
23:32:42,"0,290","8,10","27,379"
23:32:43,"0,291","10,70","27,379"
23:32:44,"0,292","4,50","27,379"
23:32:45,"0,293","0,00","27,379"
23:32:46,"0,294","0,00","27,379"
23:32:47,"0,295","0,00","27,379"
23:32:48,"0,296","7,60","27,379"
23:32:49,"0,297","1,30","27,379"
23:32:50,"0,299","5,80","27,379"
23:32:51,"0,300","3,40","27,379"
23:32:52,"0,301","9,50","27,379"
23:32:53,"0,302","2,60","27,379"
23:32:54,"0,303","2,10","27,379"
23:32:55,"0,304","2,30","27,379"
23:32:56,"0,306","0,00","27,379"
23:32:57,"0,307","0,00","26,833"
23:32:58,"0,308","0,00","26,833"
23:32:59,"0,309","2,90","27,379"
23:33:00,"0,310","0,00","27,379"
23:33:01,"0,311","0,00","27,379"
23:33:02,"0,312","2,50","27,379"
23:33:03,"0,314","1,80","27,379"
23:33:04,"0,315","12,80","27,379"
23:33:05,"0,316","2,70","27,379"
23:33:06,"0,317","3,70","27,379"
23:33:07,"0,318","0,00","27,379"
23:33:08,"0,319","3,50","27,379"
23:33:09,"0,320","10,20","27,379"
23:33:10,"0,322","0,00","27,379"
23:33:11,"0,323","3,80","27,379"
23:33:12,"0,324","8,00","27,379"
23:33:13,"0,325","4,70","27,379"
23:33:14,"0,326","4,00","27,379"
23:33:15,"0,327","10,50","27,379"
23:33:16,"0,328","4,70","27,379"
23:33:17,"0,330","0,00","27,379"
23:33:18,"0,331","0,00","27,379"
23:33:19,"0,332","3,70","27,379"
23:33:20,"0,333","5,40","27,379"
23:33:21,"0,334","5,50","27,379"
23:33:22,"0,335","0,00","27,379"
23:33:23,"0,337","0,00","27,379"
23:33:24,"0,338","2,30","27,379"
23:33:25,"0,339","2,00","26,833"
23:33:26,"0,340","3,30","27,379"
23:33:27,"0,341","2,20","27,379"
23:33:28,"0,342","0,00","27,379"
23:33:29,"0,343","0,00","27,379"
23:33:30,"0,345","0,00","27,379"
23:33:31,"0,346","2,70","27,379"
23:33:31,"0,347","3,70","27,379"
23:33:32,"0,348","5,50","27,379"
23:33:34,"0,349","2,30","27,379"
23:33:34,"0,350","3,10","27,379"
23:33:35,"0,352","3,70","27,379"
23:33:36,"0,353","2,00","27,379"
23:33:37,"0,354","2,80","27,379"
23:33:38,"0,356","0,00","27,379"
23:33:39,"0,357","0,00","27,379"
23:33:40,"0,358","6,10","27,379"
23:33:41,"0,360","0,00","27,379"
23:33:42,"0,361","0,00","27,379"
23:33:43,"0,362","3,30","27,379"
23:33:44,"0,364","2,60","27,379"
23:33:45,"0,365","0,00","27,379"
23:33:46,"0,367","3,20","27,379"
23:33:47,"0,368","2,00","27,379"
23:33:48,"0,369","2,50","27,379"
23:33:49,"0,371","2,50","27,379"
23:33:50,"0,372","2,60","27,379"
23:33:51,"0,373","3,80","27,379"
23:33:52,"0,375","4,00","27,379"
23:33:53,"0,376","27,70","27,379"
23:33:54,"0,377","4,70","27,379"
23:33:55,"0,379","2,70","27,379"
23:33:56,"0,380","5,00","27,379"
23:33:57,"0,382","2,90","27,379"
23:33:58,"0,383","6,10","27,379"
23:33:59,"0,384","0,00","27,379"
23:34:00,"0,386","4,10","27,379"
23:34:01,"0,387","1,80","27,379"
23:34:02,"0,388","3,70","27,379"
23:34:03,"0,390","2,10","27,379"
23:34:04,"0,391","2,60","27,379"
23:34:05,"0,392","3,70","27,379"
23:34:06,"0,393","0,00","27,379"
23:34:07,"0,395","0,00","27,379"
23:34:08,"0,396","0,00","27,379"
23:34:09,"0,397","0,00","27,379"
23:34:10,"0,399","1,80","27,379"
23:34:11,"0,400","5,80","27,379"
23:34:12,"0,401","2,10","27,379"
23:34:13,"0,403","3,50","27,379"
23:34:14,"0,404","2,60","27,379"
23:34:15,"0,406","16,60","27,379"
23:34:16,"0,407","2,50","27,379"
23:34:17,"0,408","3,30","27,379"
23:34:18,"0,410","4,70","27,379"
23:34:19,"0,411","3,30","27,379"
23:34:20,"0,412","4,10","27,379"
23:34:21,"0,413","2,50","27,379"
23:34:22,"0,415","6,90","27,379"
23:34:23,"0,416","0,00","27,379"
23:34:24,"0,417","0,00","27,379"
23:34:25,"0,419","0,00","27,379"
23:34:26,"0,420","4,50","27,379"
23:34:27,"0,422","0,00","27,379"
23:34:28,"0,423","0,00","26,833"
23:34:29,"0,424","0,00","27,379"
23:34:30,"0,426","2,10","27,379"
23:34:31,"0,427","3,40","27,379"
23:34:32,"0,428","1,90","27,379"
23:34:33,"0,430","4,50","27,379"
23:34:34,"0,431","5,00","27,379"
23:34:35,"0,432","4,40","27,379"
23:34:36,"0,434","14,20","27,379"
23:34:37,"0,435","10,00","27,379"
23:34:38,"0,436","2,20","27,379"
23:34:39,"0,438","10,40","27,379"
23:34:40,"0,439","2,10","27,379"
23:34:41,"0,441","3,70","27,379"
23:34:42,"0,442","0,00","27,379"
23:34:43,"0,443","0,00","27,379"
23:34:44,"0,445","5,00","27,379"
23:34:45,"0,446","5,50","27,379"
23:34:46,"0,447","4,50","27,379"
23:34:47,"0,449","3,40","27,379"
23:34:48,"0,450","0,00","27,379"
23:34:49,"0,451","4,40","27,379"
23:34:50,"0,453","5,00","27,379"
23:34:51,"0,454","5,50","27,379"
23:34:52,"0,455","4,30","27,379"
23:34:53,"0,457","2,70","27,379"
23:34:54,"0,458","0,00","27,379"
23:34:55,"0,459","0,00","27,379"
23:34:56,"0,461","0,00","27,379"
23:34:57,"0,462","0,00","27,379"
23:34:58,"0,463","0,00","27,379"
23:34:59,"0,465","0,00","27,379"
23:35:00,"0,466","0,00","27,379"
23:35:01,"0,467","2,30","27,379"
23:35:02,"0,469","0,00","27,379"
23:35:03,"0,470","0,00","27,379"
23:35:04,"0,471","3,10","27,379"
23:35:05,"0,473","0,00","27,379"
23:35:06,"0,474","3,70","27,379"
23:35:07,"0,475","0,00","27,379"
23:35:08,"0,476","3,70","27,379"
23:35:09,"0,478","4,30","27,379"
23:35:10,"0,479","0,00","27,379"
23:35:11,"0,480","0,00","27,379"
23:35:12,"0,481","2,20","26,833"
23:35:13,"0,482","0,00","27,379"
23:35:14,"0,483","0,00","26,833"
23:35:15,"0,485","0,00","26,833"
23:35:16,"0,486","4,20","27,379"
23:35:17,"0,487","8,60","27,379"
23:35:18,"0,488","0,00","27,379"
23:35:19,"0,489","0,00","27,379"
23:35:20,"0,490","0,00","27,379"
23:35:21,"0,492","0,00","27,379"
23:35:22,"0,493","0,00","27,379"
23:35:23,"0,494","0,00","27,379"
23:35:24,"0,496","0,00","26,833"
23:35:25,"0,497","0,00","27,379"
23:35:26,"0,498","0,00","27,379"
23:35:27,"0,499","0,00","27,379"
23:35:28,"0,500","0,00","27,379"
23:35:29,"0,502","0,00","27,379"
23:35:30,"0,503","2,50","27,379"
23:35:31,"0,504","0,00","27,379"
23:35:32,"0,505","5,70","27,379"
23:35:33,"0,506","5,20","27,379"
23:35:34,"0,507","8,80","27,379"
23:35:35,"0,508","1,90","27,379"
23:35:36,"0,510","0,00","27,379"
