Tempo,TragefoRede(MB),CPU(%),Memoria(MB)_Total
17:43:45,"0,000","6,20","27,121"
17:43:46,"0,180","2,90","26,388"
17:43:47,"0,182","7,10","26,934"
17:43:48,"0,184","18,10","26,934"
17:43:49,"0,185","3,20","26,934"
17:43:50,"0,187","8,30","26,934"
17:43:51,"0,189","13,60","26,934"
17:43:52,"0,190","0,00","26,934"
17:43:53,"0,192","2,40","26,934"
17:43:54,"0,194","0,00","26,934"
17:43:55,"0,196","0,00","26,934"
17:43:56,"0,197","0,00","26,934"
17:43:57,"0,199","0,00","26,934"
17:43:58,"0,200","0,00","26,777"
17:43:59,"0,202","0,00","26,809"
17:44:00,"0,204","0,00","26,871"
17:44:01,"0,206","0,00","26,715"
17:44:02,"0,208","0,00","26,715"
17:44:03,"0,209","0,00","26,688"
17:44:04,"0,211","0,00","26,719"
17:44:05,"0,213","0,00","26,719"
17:44:06,"0,214","0,00","26,719"
17:44:07,"0,216","5,50","26,719"
17:44:08,"0,217","0,00","26,719"
17:44:09,"0,219","0,00","26,719"
17:44:10,"0,221","0,00","26,719"
17:44:11,"0,222","0,00","26,719"
17:44:12,"0,224","0,00","26,688"
17:44:13,"0,225","0,00","26,688"
17:44:14,"0,227","3,20","26,688"
17:44:15,"0,229","0,00","26,688"
17:44:16,"0,230","0,00","26,688"
17:44:17,"0,232","0,00","26,688"
17:44:18,"0,233","0,00","26,844"
17:44:19,"0,235","0,00","26,688"
17:44:20,"0,236","0,00","26,719"
17:44:21,"0,238","0,00","26,844"
17:44:22,"0,240","0,00","26,719"
17:44:23,"0,241","0,00","26,719"
17:44:24,"0,243","0,00","26,719"
17:44:25,"0,244","2,00","26,719"
17:44:26,"0,246","0,00","26,719"
17:44:27,"0,247","0,00","26,719"
17:44:28,"0,249","0,00","26,844"
17:44:29,"0,250","3,80","26,844"
17:44:30,"0,252","0,00","26,719"
17:44:31,"0,253","0,00","26,844"
17:44:32,"0,255","3,10","26,844"
17:44:33,"0,256","0,00","26,844"
17:44:34,"0,258","4,00","26,844"
17:44:35,"0,259","0,00","26,844"
17:44:36,"0,260","0,00","26,844"
17:44:37,"0,262","6,60","26,844"
17:44:38,"0,263","9,00","26,844"
17:44:39,"0,265","4,30","26,844"
17:44:40,"0,266","7,40","26,844"
17:44:41,"0,268","7,40","26,844"
17:44:42,"0,269","3,40","26,844"
17:44:43,"0,271","6,80","26,844"
17:44:44,"0,272","0,00","26,844"
17:44:45,"0,274","0,00","26,844"
17:44:46,"0,275","0,00","26,844"
17:44:47,"0,277","0,00","26,688"
17:44:48,"0,279","0,00","26,688"
17:44:49,"0,280","0,00","26,688"
17:44:50,"0,282","0,00","26,719"
17:44:51,"0,283","0,00","26,719"
17:44:52,"0,285","0,00","26,719"
17:44:53,"0,286","0,00","26,844"
17:44:54,"0,288","0,00","26,844"
17:44:54,"0,289","0,00","26,844"
17:44:55,"0,291","0,00","26,844"
17:44:56,"0,292","0,00","26,844"
17:44:57,"0,294","3,70","26,844"
17:44:58,"0,295","0,00","26,844"
17:44:59,"0,297","0,00","26,844"
17:45:00,"0,298","0,00","26,844"
17:45:01,"0,300","0,00","26,844"
17:45:02,"0,301","0,00","26,844"
17:45:03,"0,303","2,50","26,844"
17:45:05,"0,304","0,00","26,844"
17:45:06,"0,306","0,00","26,844"
17:45:07,"0,307","0,00","26,844"
17:45:08,"0,309","0,00","26,844"
17:45:09,"0,310","0,00","26,844"
17:45:10,"0,312","0,00","26,844"
17:45:11,"0,313","0,00","26,844"
17:45:12,"0,315","0,00","26,719"
17:45:13,"0,316","0,00","26,719"
17:45:14,"0,318","0,00","26,844"
17:45:15,"0,319","0,00","26,844"
17:45:16,"0,321","0,00","26,719"
17:45:17,"0,322","0,00","26,719"
17:45:18,"0,324","0,00","26,844"
17:45:18,"0,325","0,00","26,844"
17:45:19,"0,327","0,00","26,719"
17:45:21,"0,328","5,20","26,719"
17:45:22,"0,330","0,00","26,844"
17:45:22,"0,331","0,00","26,844"
17:45:23,"0,333","0,00","26,844"
17:45:24,"0,334","4,30","26,844"
17:45:25,"0,335","0,00","26,844"
17:45:26,"0,336","0,00","26,844"
17:45:27,"0,338","0,00","26,844"
17:45:28,"0,339","3,80","26,844"
17:45:29,"0,341","7,40","26,844"
17:45:30,"0,342","8,60","26,844"
17:45:31,"0,344","5,50","26,844"
17:45:32,"0,345","3,50","26,844"
17:45:33,"0,347","4,10","26,844"
17:45:34,"0,349","0,00","26,844"
17:45:35,"0,350","0,00","26,844"
17:45:36,"0,351","4,10","26,844"
17:45:37,"0,353","6,80","26,844"
17:45:38,"0,355","3,40","26,844"
17:45:39,"0,356","4,50","26,844"
17:45:40,"0,358","5,00","26,844"
17:45:41,"0,359","8,30","26,844"
17:45:42,"0,360","0,00","26,844"
17:45:43,"0,362","1,70","26,844"
17:45:44,"0,363","0,00","26,688"
17:45:45,"0,365","0,00","26,719"
17:45:46,"0,366","0,00","26,688"
17:45:47,"0,368","0,00","26,688"
17:45:48,"0,369","0,00","26,719"
17:45:49,"0,371","0,00","31,412"
17:45:50,"0,372","4,60","26,844"
17:45:51,"0,374","12,50","26,844"
17:45:52,"0,375","7,60","26,844"
17:45:53,"0,377","7,60","26,844"
17:45:54,"0,378","6,50","26,844"
17:45:55,"0,380","2,50","26,844"
17:45:56,"0,381","0,00","26,298"
17:45:57,"0,383","0,00","26,719"
17:45:58,"0,384","0,00","26,688"
17:45:59,"0,386","0,00","26,719"
17:46:00,"0,387","0,00","26,719"
17:46:01,"0,389","0,00","26,719"
17:46:02,"0,390","0,00","26,719"
17:46:03,"0,392","0,00","26,844"
17:46:04,"0,393","0,00","26,844"
17:46:05,"0,395","0,00","26,844"
17:46:06,"0,396","0,00","26,844"
17:46:07,"0,398","0,00","26,844"
17:46:08,"0,399","0,00","26,844"
17:46:09,"0,401","0,00","26,844"
17:46:10,"0,402","2,70","26,844"
17:46:11,"0,404","3,20","26,844"
17:46:12,"0,405","3,50","26,844"
17:46:13,"0,407","4,20","26,844"
17:46:14,"0,408","0,00","26,844"
17:46:15,"0,409","0,00","26,844"
17:46:16,"0,411","4,10","26,844"
17:46:17,"0,412","3,20","26,844"
17:46:18,"0,414","0,00","26,844"
17:46:19,"0,416","2,00","26,844"
17:46:20,"0,417","1,70","26,844"
17:46:21,"0,419","3,80","26,844"
17:46:22,"0,420","0,00","26,844"
17:46:23,"0,422","0,00","26,844"
17:46:24,"0,423","0,00","26,844"
17:46:25,"0,425","4,00","26,844"
17:46:26,"0,426","3,60","26,688"
17:46:27,"0,428","0,00","26,688"
17:46:28,"0,430","0,00","26,688"
17:46:29,"0,431","0,00","26,688"
17:46:30,"0,433","2,40","26,688"
17:46:31,"0,434","0,00","26,688"
17:46:32,"0,436","0,00","26,688"
17:46:33,"0,438","0,00","26,688"
17:46:34,"0,439","0,00","26,688"
17:46:35,"0,441","3,80","26,688"
17:46:36,"0,442","3,30","26,688"
17:46:37,"0,444","3,50","26,688"
17:46:38,"0,445","0,00","26,688"
17:46:39,"0,447","0,00","26,719"
17:46:40,"0,449","0,00","26,719"
17:46:41,"0,450","0,00","26,719"
17:46:42,"0,452","0,00","26,719"
17:46:43,"0,453","0,00","26,719"
17:46:44,"0,455","0,00","26,719"
17:46:45,"0,456","0,00","26,719"
17:46:46,"0,458","0,00","26,719"
17:46:47,"0,460","0,00","26,844"
17:46:48,"0,461","0,00","26,844"
17:46:49,"0,463","2,30","26,844"
17:46:50,"0,464","2,50","26,844"
17:46:51,"0,466","0,00","26,844"
17:46:52,"0,468","4,50","26,844"
17:46:53,"0,469","2,60","26,844"
17:46:54,"0,471","0,00","26,844"
17:46:55,"0,472","0,00","26,844"
17:46:56,"0,474","0,00","26,844"
17:46:57,"0,476","0,00","26,844"
17:46:57,"0,477","0,00","26,844"
17:46:58,"0,478","2,50","26,844"
17:46:59,"0,480","0,00","26,844"
17:47:00,"0,481","2,70","26,844"
17:47:01,"0,483","5,00","26,844"
17:47:02,"0,484","7,50","26,844"
17:47:03,"0,486","0,00","26,844"
17:47:04,"0,488","3,50","26,844"
17:47:05,"0,489","3,50","26,298"
17:47:06,"0,491","3,20","26,688"
17:47:07,"0,492","0,00","26,844"
17:47:08,"0,494","3,20","26,844"
17:47:09,"0,495","3,40","26,844"
17:47:10,"0,497","3,20","26,719"
17:47:11,"0,499","0,00","26,719"
17:47:12,"0,500","3,00","26,719"
17:47:13,"0,502","3,20","26,688"
17:47:14,"0,503","3,60","26,719"
17:47:15,"0,505","0,00","26,719"
17:47:16,"0,507","0,00","26,298"
17:47:17,"0,508","0,00","26,298"
17:47:18,"0,510","0,00","26,688"
17:47:19,"0,511","0,00","26,688"
17:47:20,"0,513","3,00","26,688"
17:47:21,"0,514","0,00","26,719"
17:47:22,"0,516","0,00","26,844"
17:47:23,"0,518","0,00","26,719"
17:47:24,"0,519","0,00","26,719"
17:47:25,"0,521","0,00","26,719"
17:47:26,"0,522","0,00","26,719"
17:47:27,"0,524","0,00","26,844"
17:47:28,"0,526","0,00","26,844"
17:47:29,"0,527","0,00","26,844"
17:47:30,"0,529","9,70","26,844"
17:47:31,"0,530","4,30","26,844"
17:47:32,"0,532","0,00","26,844"
17:47:33,"0,533","3,70","26,844"
17:47:34,"0,535","3,00","26,844"
17:47:35,"0,536","3,00","26,844"
17:47:36,"0,538","3,80","26,844"
17:47:37,"0,539","5,70","26,844"
17:47:38,"0,541","3,40","26,844"
17:47:39,"0,542","3,20","26,844"
17:47:40,"0,544","4,70","26,844"
17:47:41,"0,546","4,50","26,844"
17:47:42,"0,547","0,00","26,844"
17:47:43,"0,549","0,00","26,298"
17:47:44,"0,550","2,00","26,688"
17:47:45,"0,552","0,00","26,688"
17:47:46,"0,554","0,00","26,719"
17:47:47,"0,555","0,00","26,298"
17:47:48,"0,557","5,00","26,844"
17:47:49,"0,558","0,00","26,844"
17:47:50,"0,560","3,00","26,298"
17:47:51,"0,562","0,00","26,688"
17:47:52,"0,563","3,20","26,688"
17:47:53,"0,565","0,00","26,688"
17:47:54,"0,566","2,40","26,688"
17:47:55,"0,568","5,80","26,719"
17:47:56,"0,570","4,00","26,719"
17:47:57,"0,571","3,20","26,719"
17:47:58,"0,573","5,20","26,719"
17:47:59,"0,574","3,30","26,719"
17:48:00,"0,576","3,00","26,719"
17:48:01,"0,578","0,00","26,719"
17:48:02,"0,579","2,20","26,719"
17:48:03,"0,581","0,00","26,844"
17:48:04,"0,582","0,00","26,844"
17:48:05,"0,584","0,00","26,844"
17:48:06,"0,585","0,00","26,844"
17:48:07,"0,587","0,00","26,844"
17:48:08,"0,589","0,00","26,719"
17:48:09,"0,590","0,00","26,844"
17:48:10,"0,592","0,00","26,844"
17:48:11,"0,593","0,00","26,719"
17:48:12,"0,595","4,80","26,719"
17:48:13,"0,596","5,20","26,719"
17:48:14,"0,598","4,10","26,844"
17:48:15,"0,600","0,00","26,844"
17:48:16,"0,601","0,00","26,719"
17:48:17,"0,603","0,00","26,719"
17:48:18,"0,604","0,00","26,719"
17:48:19,"0,606","0,00","26,719"
17:48:20,"0,608","3,50","26,719"
17:48:21,"0,609","0,00","26,844"
17:48:22,"0,611","2,10","26,844"
17:48:23,"0,612","0,00","26,844"
17:48:24,"0,614","0,00","26,844"
17:48:25,"0,616","0,00","26,844"
17:48:26,"0,617","3,80","26,844"
17:48:27,"0,619","0,00","26,844"
17:48:28,"0,620","0,00","26,844"
17:48:29,"0,621","0,00","26,844"
17:48:30,"0,623","0,00","26,844"
17:48:31,"0,624","2,50","26,844"
17:48:32,"0,626","4,10","26,844"
17:48:33,"0,628","7,10","26,844"
17:48:34,"0,629","4,70","26,844"
17:48:35,"0,631","9,00","26,844"
17:48:35,"0,632","3,50","26,844"
17:48:36,"0,634","3,00","26,844"
17:48:37,"0,636","3,70","26,844"
17:48:38,"0,637","0,00","26,298"
17:48:39,"0,639","0,00","26,298"
17:48:40,"0,640","0,00","26,719"
17:48:41,"0,642","0,00","26,844"
17:48:42,"0,644","0,00","26,844"
17:48:43,"0,645","0,00","26,844"
17:48:44,"0,647","0,00","26,844"
,,"1,70","26,796"
